SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SGBJUL27," GB"," 20-Apr-2021"," 4850.00"," 4849.00"," 4849.00"," 4849.00"," 4849.00"," 4849.00"," 4849.00"," 2"," 0.10"," 2"," 2"," 100.00"
SGBJUL28IV," GB"," 20-Apr-2021"," 4797.08"," 4795.00"," 4795.00"," 4751.00"," 4761.00"," 4767.55"," 4772.75"," 209"," 9.98"," 41"," 156"," 74.64"
SGBJUN28," GB"," 20-Apr-2021"," 4769.00"," 4779.00"," 4790.00"," 4750.00"," 4750.01"," 4762.96"," 4772.00"," 119"," 5.68"," 29"," 75"," 63.03"
SGBMAR24," GB"," 20-Apr-2021"," 4780.00"," 4780.00"," 4795.00"," 4700.00"," 4700.00"," 4705.58"," 4722.83"," 153"," 7.23"," 14"," 153"," 100.00"
SGBMAR25," GB"," 20-Apr-2021"," 4769.63"," 4713.00"," 4775.00"," 4713.00"," 4775.00"," 4775.00"," 4756.75"," 16"," 0.76"," 5"," 14"," 87.50"
SGBMAR28X," GB"," 20-Apr-2021"," 4721.00"," 4750.00"," 4776.00"," 4730.80"," 4731.15"," 4731.15"," 4773.05"," 108"," 5.15"," 16"," 101"," 93.52"
SGBMAY25," GB"," 20-Apr-2021"," 4798.92"," 4783.00"," 5000.00"," 4740.00"," 4848.98"," 4848.98"," 4857.87"," 60"," 2.91"," 14"," 50"," 83.33"
SGBMAY26," GB"," 20-Apr-2021"," 4741.10"," 4704.00"," 4764.00"," 4704.00"," 4740.00"," 4740.00"," 4758.82"," 106"," 5.04"," 8"," 106"," 100.00"
SGBMAY28," GB"," 20-Apr-2021"," 4764.92"," 4784.95"," 4785.00"," 4734.00"," 4759.00"," 4755.95"," 4760.51"," 185"," 8.81"," 41"," 171"," 92.43"
SGBMR29XII," GB"," 20-Apr-2021"," 4738.23"," 4732.00"," 4775.00"," 4726.00"," 4750.00"," 4748.02"," 4751.37"," 820"," 38.96"," 169"," 708"," 86.34"
SGBN28VIII," GB"," 20-Apr-2021"," 4775.01"," 4780.00"," 4890.00"," 4776.01"," 4825.00"," 4825.00"," 4823.27"," 104"," 5.02"," 16"," 21"," 20.19"
SGBNOV23," GB"," 20-Apr-2021"," 4790.00"," 4760.00"," 4810.00"," 4760.00"," 4810.00"," 4808.00"," 4778.34"," 132"," 6.31"," 17"," 131"," 99.24"
SGBNOV24," GB"," 20-Apr-2021"," 4738.08"," 4710.00"," 4749.90"," 4710.00"," 4747.47"," 4747.47"," 4740.11"," 297"," 14.08"," 33"," 295"," 99.33"
SGBNOV258," GB"," 20-Apr-2021"," 4750.00"," 4750.00"," 4750.00"," 4750.00"," 4750.00"," 4750.00"," 4750.00"," 1"," 0.05"," 1"," 1"," 100.00"
SGBNOV25VI," GB"," 20-Apr-2021"," 4789.00"," 4720.00"," 4720.00"," 4720.00"," 4720.00"," 4720.00"," 4720.00"," 1"," 0.05"," 1"," 1"," 100.00"
SGBOC28VII," GB"," 20-Apr-2021"," 4819.00"," 4752.00"," 4800.00"," 4752.00"," 4757.02"," 4759.98"," 4774.59"," 95"," 4.54"," 32"," 87"," 91.58"
SGBOCT25," GB"," 20-Apr-2021"," 4756.27"," 4770.80"," 4775.00"," 4770.80"," 4775.00"," 4775.00"," 4774.98"," 191"," 9.12"," 13"," 191"," 100.00"
SGBOCT25IV," GB"," 20-Apr-2021"," 4742.00"," 4800.00"," 4800.00"," 4800.00"," 4800.00"," 4800.00"," 4800.00"," 1"," 0.05"," 1"," 1"," 100.00"
SGBOCT25V," GB"," 20-Apr-2021"," 4700.00"," 4705.00"," 4725.00"," 4705.00"," 4705.00"," 4705.00"," 4708.50"," 6"," 0.28"," 4"," 6"," 100.00"
SGBOCT27VI," GB"," 20-Apr-2021"," 4743.86"," 4750.00"," 4750.00"," 4750.00"," 4750.00"," 4750.00"," 4750.00"," 42"," 2.00"," 3"," 42"," 100.00"
SGBSEP24," GB"," 20-Apr-2021"," 4774.00"," 4749.90"," 4792.00"," 4714.00"," 4720.00"," 4720.00"," 4731.39"," 100"," 4.73"," 12"," 90"," 90.00"
SGBSEP27," GB"," 20-Apr-2021"," 4725.00"," 4750.00"," 4750.00"," 4650.00"," 4745.00"," 4745.00"," 4688.33"," 179"," 8.39"," 31"," 102"," 56.98"
SGBSEP28VI," GB"," 20-Apr-2021"," 4791.00"," 4761.10"," 4848.00"," 4725.00"," 4743.00"," 4738.80"," 4748.26"," 499"," 23.69"," 57"," 293"," 58.72"
SHAHALLOYS," BE"," 20-Apr-2021"," 10.30"," 10.80"," 10.80"," 10.40"," 10.80"," 10.80"," 10.66"," 12982"," 1.38"," 22"," -"," -"
SHIVAMILLS," BE"," 20-Apr-2021"," 42.95"," 42.00"," 45.00"," 42.00"," 43.80"," 42.85"," 44.14"," 2678"," 1.18"," 22"," -"," -"
SHRADHA," BE"," 20-Apr-2021"," 36.10"," 36.10"," 36.10"," 35.50"," 35.50"," 35.50"," 35.92"," 87"," 0.03"," 4"," -"," -"
SHRIPISTON," BE"," 20-Apr-2021"," 748.00"," 759.00"," 759.00"," 740.00"," 740.00"," 740.00"," 746.95"," 1496"," 11.17"," 25"," -"," -"
SHUBHLAXMI," SM"," 20-Apr-2021"," 12.90"," 12.95"," 12.95"," 12.90"," 12.90"," 12.90"," 12.92"," 5000"," 0.65"," 4"," 5000"," 100.00"
SIDDHIKA," ST"," 20-Apr-2021"," 55.95"," 56.45"," 56.50"," 56.45"," 56.50"," 56.50"," 56.48"," 4000"," 2.26"," 2"," 4000"," 100.00"
SIL," BE"," 20-Apr-2021"," 18.00"," 17.40"," 18.75"," 17.10"," 17.70"," 17.40"," 17.32"," 45922"," 7.95"," 78"," -"," -"
SILLYMONKS," BE"," 20-Apr-2021"," 22.55"," 21.85"," 23.00"," 21.50"," 22.50"," 22.50"," 22.89"," 1147"," 0.26"," 10"," -"," -"
SINTEX," BE"," 20-Apr-2021"," 3.30"," 3.35"," 3.45"," 3.25"," 3.40"," 3.40"," 3.40"," 866033"," 29.41"," 697"," -"," -"
SIRCA," BE"," 20-Apr-2021"," 363.80"," 363.80"," 374.00"," 345.65"," 369.00"," 367.85"," 368.01"," 19630"," 72.24"," 219"," -"," -"
SKIL," BE"," 20-Apr-2021"," 2.40"," 2.30"," 2.50"," 2.30"," 2.45"," 2.40"," 2.39"," 14868"," 0.36"," 39"," -"," -"
SMPL," BZ"," 20-Apr-2021"," 0.15"," 0.15"," 0.15"," 0.15"," 0.15"," 0.15"," 0.15"," 1080"," 0.00"," 4"," -"," -"
SMVD," SM"," 20-Apr-2021"," 8.45"," 8.85"," 8.85"," 8.85"," 8.85"," 8.85"," 8.85"," 2000"," 0.18"," 1"," 2000"," 100.00"
SOFTTECH," SM"," 20-Apr-2021"," 94.55"," 94.60"," 94.60"," 94.60"," 94.60"," 94.60"," 94.60"," 1600"," 1.51"," 1"," 1600"," 100.00"
SOLEX," SM"," 20-Apr-2021"," 54.00"," 53.35"," 53.35"," 53.35"," 53.35"," 53.35"," 53.35"," 2000"," 1.07"," 1"," 2000"," 100.00"
SOMATEX," BE"," 20-Apr-2021"," 5.40"," 5.40"," 5.65"," 5.40"," 5.65"," 5.65"," 5.65"," 13608"," 0.77"," 40"," -"," -"
SOMICONVEY," BE"," 20-Apr-2021"," 33.25"," 33.25"," 34.00"," 31.65"," 33.95"," 33.65"," 32.28"," 13183"," 4.26"," 88"," -"," -"
SONAHISONA," SM"," 20-Apr-2021"," 12.00"," 12.00"," 12.00"," 12.00"," 12.00"," 12.00"," 12.00"," 150000"," 18.00"," 3"," 150000"," 100.00"
SONAMCLOCK," SM"," 20-Apr-2021"," 65.70"," 64.85"," 64.85"," 58.00"," 64.70"," 64.70"," 62.52"," 9000"," 5.63"," 3"," 0"," 0.00"
SPENTEX," BZ"," 20-Apr-2021"," 0.80"," 0.75"," 0.85"," 0.75"," 0.75"," 0.75"," 0.79"," 10133"," 0.08"," 7"," -"," -"
SREIBNPNCD," NO"," 20-Apr-2021"," 325.00"," 325.00"," 325.00"," 325.00"," 325.00"," 325.00"," 325.00"," 4"," 0.01"," 1"," 4"," 100.00"
SREIBNPNCD," NU"," 20-Apr-2021"," 383.99"," 383.99"," 383.99"," 383.99"," 383.99"," 383.99"," 383.99"," 25"," 0.10"," 1"," 25"," 100.00"
SREIBNPNCD," Y1"," 20-Apr-2021"," 360.00"," 429.90"," 430.00"," 429.90"," 430.00"," 430.00"," 429.98"," 116"," 0.50"," 9"," 116"," 100.00"
SREIBNPNCD," Y7"," 20-Apr-2021"," 360.00"," 360.00"," 399.00"," 360.00"," 399.00"," 361.85"," 361.03"," 38"," 0.14"," 3"," 38"," 100.00"
SRIRAM," SM"," 20-Apr-2021"," 16.50"," 16.80"," 16.80"," 16.80"," 16.80"," 16.80"," 16.80"," 42000"," 7.06"," 1"," 42000"," 100.00"
SRPL," BE"," 20-Apr-2021"," 28.50"," 27.20"," 29.90"," 27.20"," 29.00"," 29.00"," 29.74"," 363"," 0.11"," 11"," -"," -"
SRTRANSFIN," Y9"," 20-Apr-2021"," 1093.48"," 1085.00"," 1094.00"," 1083.00"," 1088.10"," 1093.48"," 1088.23"," 352"," 3.83"," 9"," 331"," 94.03"
SRTRANSFIN," YB"," 20-Apr-2021"," 1013.00"," 1016.00"," 1016.00"," 1014.00"," 1016.00"," 1014.51"," 1014.56"," 245"," 2.49"," 10"," 245"," 100.00"
SRTRANSFIN," YH"," 20-Apr-2021"," 1024.00"," 1013.00"," 1013.00"," 1013.00"," 1013.00"," 1013.00"," 1013.00"," 60"," 0.61"," 1"," 60"," 100.00"
SRTRANSFIN," YJ"," 20-Apr-2021"," 1070.00"," 1069.00"," 1069.00"," 1069.00"," 1069.00"," 1069.00"," 1069.00"," 1"," 0.01"," 1"," 1"," 100.00"
SRTRANSFIN," YM"," 20-Apr-2021"," 1270.00"," 1272.00"," 1272.00"," 1271.50"," 1271.50"," 1271.50"," 1271.53"," 150"," 1.91"," 2"," 150"," 100.00"
SRTRANSFIN," YO"," 20-Apr-2021"," 1008.55"," 1008.60"," 1008.60"," 1008.55"," 1008.55"," 1008.55"," 1008.59"," 50"," 0.50"," 3"," 50"," 100.00"
SRTRANSFIN," YQ"," 20-Apr-2021"," 1050.00"," 1046.50"," 1046.50"," 1046.50"," 1046.50"," 1046.50"," 1046.50"," 1"," 0.01"," 1"," 1"," 100.00"
SRTRANSFIN," YS"," 20-Apr-2021"," 1085.00"," 1086.00"," 1086.00"," 1084.90"," 1085.00"," 1085.00"," 1085.46"," 315"," 3.42"," 5"," 315"," 100.00"
SRTRANSFIN," YV"," 20-Apr-2021"," 1020.00"," 1018.50"," 1019.00"," 1016.00"," 1019.00"," 1019.00"," 1016.90"," 246"," 2.50"," 7"," 246"," 100.00"
SRTRANSFIN," YW"," 20-Apr-2021"," 1060.50"," 1060.90"," 1060.90"," 1060.90"," 1060.90"," 1060.90"," 1060.90"," 123"," 1.30"," 2"," 123"," 100.00"
SRTRANSFIN," YX"," 20-Apr-2021"," 1018.93"," 1017.31"," 1017.31"," 1017.31"," 1017.31"," 1017.31"," 1017.31"," 50"," 0.51"," 1"," 50"," 100.00"
SRTRANSFIN," YY"," 20-Apr-2021"," 1080.00"," 1079.00"," 1079.00"," 1077.00"," 1077.00"," 1077.00"," 1077.31"," 96"," 1.03"," 4"," 96"," 100.00"
SRTRANSFIN," Z2"," 20-Apr-2021"," 1231.00"," 1231.00"," 1231.00"," 1231.00"," 1231.00"," 1231.00"," 1231.00"," 50"," 0.62"," 1"," 50"," 100.00"
SRTRANSFIN," Z3"," 20-Apr-2021"," 1040.00"," 995.26"," 995.26"," 995.25"," 995.25"," 995.25"," 995.25"," 30"," 0.30"," 2"," 30"," 100.00"
SRTRANSFIN," Z7"," 20-Apr-2021"," 1081.00"," 1082.00"," 1082.00"," 1082.00"," 1082.00"," 1082.00"," 1082.00"," 61"," 0.66"," 4"," 61"," 100.00"
SRTRANSFIN," Z8"," 20-Apr-2021"," 1074.00"," 1074.00"," 1074.11"," 1074.00"," 1074.11"," 1074.11"," 1074.04"," 44"," 0.47"," 3"," 44"," 100.00"
STEL," BE"," 20-Apr-2021"," 75.00"," 73.50"," 77.00"," 73.00"," 75.45"," 74.10"," 74.28"," 3661"," 2.72"," 65"," -"," -"
SUBCAPCITY," BE"," 20-Apr-2021"," 15.45"," 14.70"," 14.75"," 14.70"," 14.70"," 14.70"," 14.71"," 94"," 0.01"," 4"," -"," -"
SUMEETINDS," BE"," 20-Apr-2021"," 5.60"," 5.35"," 5.35"," 5.35"," 5.35"," 5.35"," 5.35"," 5042"," 0.27"," 28"," -"," -"
SURANASOL," BE"," 20-Apr-2021"," 8.65"," 8.55"," 8.80"," 8.25"," 8.55"," 8.65"," 8.45"," 17161"," 1.45"," 79"," -"," -"
SUULD," BE"," 20-Apr-2021"," 199.20"," 197.00"," 202.50"," 192.00"," 200.00"," 197.90"," 195.22"," 4900"," 9.57"," 71"," -"," -"
SVLL," SM"," 20-Apr-2021"," 94.50"," 99.00"," 99.00"," 99.00"," 99.00"," 99.00"," 99.00"," 1000"," 0.99"," 1"," 1000"," 100.00"
SYNCOM," BZ"," 20-Apr-2021"," 2.50"," 2.60"," 2.60"," 2.60"," 2.60"," 2.60"," 2.60"," 76089"," 1.98"," 99"," -"," -"
TANTIACONS," BZ"," 20-Apr-2021"," 4.05"," 4.25"," 4.25"," 4.25"," 4.25"," 4.25"," 4.25"," 940"," 0.04"," 4"," -"," -"
TATACAPHSG," N2"," 20-Apr-2021"," 1045.00"," 1040.00"," 1049.99"," 1040.00"," 1049.99"," 1049.99"," 1046.08"," 69"," 0.72"," 3"," 69"," 100.00"
TATACAPHSG," N4"," 20-Apr-2021"," 1062.00"," 1075.00"," 1075.00"," 1062.00"," 1062.00"," 1062.00"," 1073.38"," 40"," 0.43"," 2"," 40"," 100.00"
TATACAPHSG," NB"," 20-Apr-2021"," 1143.89"," 1143.89"," 1143.89"," 1143.89"," 1143.89"," 1143.89"," 1143.89"," 35"," 0.40"," 1"," 35"," 100.00"
TCFSL," NB"," 20-Apr-2021"," 1055.75"," 1058.00"," 1059.99"," 1057.50"," 1057.51"," 1057.51"," 1058.31"," 592"," 6.27"," 11"," 482"," 81.42"
TCFSL," ND"," 20-Apr-2021"," 1103.06"," 1108.00"," 1108.00"," 1100.12"," 1108.00"," 1107.43"," 1105.68"," 553"," 6.11"," 24"," 449"," 81.19"
TCFSL," NF"," 20-Apr-2021"," 1200.01"," 1203.00"," 1203.00"," 1203.00"," 1203.00"," 1203.00"," 1203.00"," 221"," 2.66"," 2"," 221"," 100.00"
TCFSL," NH"," 20-Apr-2021"," 1072.10"," 1072.20"," 1074.00"," 1072.20"," 1073.00"," 1073.61"," 1073.43"," 75"," 0.81"," 3"," 75"," 100.00"
TCFSL," NJ"," 20-Apr-2021"," 1096.50"," 1098.00"," 1100.00"," 1098.00"," 1100.00"," 1100.00"," 1098.35"," 121"," 1.33"," 3"," 121"," 100.00"
TCFSL," NL"," 20-Apr-2021"," 1132.05"," 1144.50"," 1144.50"," 1144.50"," 1144.50"," 1144.50"," 1144.50"," 40"," 0.46"," 2"," 40"," 100.00"
TECHIN," BE"," 20-Apr-2021"," 2.60"," 2.70"," 2.70"," 2.60"," 2.60"," 2.60"," 2.68"," 3287"," 0.09"," 14"," -"," -"
TEMBO," SM"," 20-Apr-2021"," 103.00"," 104.00"," 104.00"," 100.00"," 103.00"," 103.00"," 101.75"," 8000"," 8.14"," 4"," 6000"," 75.00"
TFL," BE"," 20-Apr-2021"," 2.25"," 2.30"," 2.30"," 2.30"," 2.30"," 2.30"," 2.30"," 572"," 0.01"," 3"," -"," -"
THEJO," SM"," 20-Apr-2021"," 2050.00"," 2129.00"," 2129.00"," 2050.00"," 2050.00"," 2050.00"," 2089.50"," 200"," 4.18"," 2"," 100"," 50.00"
THIRUSUGAR," BZ"," 20-Apr-2021"," 6.00"," 6.00"," 6.05"," 6.00"," 6.05"," 6.05"," 6.00"," 46"," 0.00"," 3"," -"," -"
THOMASCOTT," BE"," 20-Apr-2021"," 7.30"," 7.50"," 7.50"," 7.45"," 7.50"," 7.50"," 7.47"," 188"," 0.01"," 3"," -"," -"
TIJARIA," BE"," 20-Apr-2021"," 6.60"," 6.35"," 6.90"," 6.35"," 6.85"," 6.85"," 6.37"," 2991"," 0.19"," 16"," -"," -"
TIPSINDLTD," BE"," 20-Apr-2021"," 501.80"," 505.00"," 515.00"," 484.00"," 505.00"," 504.95"," 505.86"," 6099"," 30.85"," 169"," -"," -"
TNTELE," BE"," 20-Apr-2021"," 4.40"," 4.55"," 4.60"," 4.20"," 4.40"," 4.20"," 4.41"," 13991"," 0.62"," 55"," -"," -"
TOUCHWOOD," BE"," 20-Apr-2021"," 95.30"," 95.30"," 99.90"," 90.55"," 95.00"," 92.50"," 94.29"," 4170"," 3.93"," 45"," -"," -"
TTML," BE"," 20-Apr-2021"," 11.30"," 11.55"," 11.60"," 10.90"," 11.15"," 11.00"," 11.20"," 1479485"," 165.75"," 5713"," -"," -"
TVSELECT," BE"," 20-Apr-2021"," 124.30"," 127.75"," 127.75"," 122.50"," 122.50"," 122.95"," 124.33"," 11861"," 14.75"," 204"," -"," -"
TVVISION," BE"," 20-Apr-2021"," 2.20"," 2.10"," 2.10"," 2.10"," 2.10"," 2.10"," 2.10"," 84368"," 1.77"," 32"," -"," -"
UCL," SM"," 20-Apr-2021"," 36.00"," 34.00"," 34.00"," 34.00"," 34.00"," 34.00"," 34.00"," 2000"," 0.68"," 1"," 2000"," 100.00"
UJAAS," BE"," 20-Apr-2021"," 2.35"," 2.35"," 2.45"," 2.30"," 2.45"," 2.40"," 2.41"," 398666"," 9.60"," 438"," -"," -"
UMESLTD," BE"," 20-Apr-2021"," 3.20"," 3.10"," 3.35"," 3.05"," 3.30"," 3.05"," 3.09"," 20569"," 0.64"," 93"," -"," -"
UNITECH," BZ"," 20-Apr-2021"," 1.40"," 1.40"," 1.40"," 1.35"," 1.40"," 1.40"," 1.39"," 4349394"," 60.58"," 469"," -"," -"
UNITY," BZ"," 20-Apr-2021"," 0.90"," 0.90"," 0.90"," 0.85"," 0.85"," 0.85"," 0.85"," 35285"," 0.30"," 17"," -"," -"
UNIVASTU," BE"," 20-Apr-2021"," 37.90"," 36.50"," 37.85"," 36.50"," 37.80"," 37.80"," 36.93"," 708"," 0.26"," 9"," -"," -"
URJA," BE"," 20-Apr-2021"," 5.35"," 5.10"," 5.60"," 5.10"," 5.60"," 5.60"," 5.43"," 1686612"," 91.63"," 4660"," -"," -"
URJAPP," X1"," 20-Apr-2021"," 1.70"," 1.75"," 1.75"," 1.65"," 1.75"," 1.75"," 1.72"," 48870"," 0.84"," 81"," 44515"," 91.09"
UTTAMSTL," BE"," 20-Apr-2021"," 7.00"," 7.15"," 7.30"," 6.75"," 7.00"," 6.95"," 7.02"," 90137"," 6.33"," 124"," -"," -"
VAISHALI," BE"," 20-Apr-2021"," 35.45"," 34.90"," 37.20"," 34.90"," 36.00"," 36.70"," 36.94"," 73061"," 26.99"," 418"," -"," -"
VICEROY," BE"," 20-Apr-2021"," 2.05"," 1.95"," 2.05"," 1.95"," 2.00"," 2.00"," 1.97"," 56011"," 1.10"," 59"," -"," -"
VIDEOIND," BZ"," 20-Apr-2021"," 3.90"," 4.00"," 4.00"," 3.85"," 3.95"," 3.95"," 3.93"," 115107"," 4.52"," 220"," -"," -"
VIPCLOTHNG," BE"," 20-Apr-2021"," 12.35"," 11.90"," 12.60"," 11.75"," 11.95"," 11.95"," 12.06"," 43080"," 5.20"," 145"," -"," -"
VIPULLTD," BE"," 20-Apr-2021"," 29.00"," 28.40"," 29.45"," 28.25"," 28.50"," 28.50"," 28.87"," 3522"," 1.02"," 18"," -"," -"
VIVIDHA," BE"," 20-Apr-2021"," 0.70"," 0.75"," 0.75"," 0.65"," 0.70"," 0.70"," 0.70"," 787438"," 5.52"," 215"," -"," -"
VMARCIND," ST"," 20-Apr-2021"," 41.55"," 41.50"," 41.50"," 39.50"," 40.50"," 40.45"," 40.43"," 39000"," 15.77"," 12"," 33000"," 84.62"
VSCL," SM"," 20-Apr-2021"," 13.20"," 13.85"," 13.85"," 13.85"," 13.85"," 13.85"," 13.85"," 6000"," 0.83"," 2"," 6000"," 100.00"
WANBURY," BE"," 20-Apr-2021"," 95.10"," 97.50"," 99.65"," 90.55"," 97.00"," 96.00"," 95.99"," 68945"," 66.18"," 172"," -"," -"
WFL," SM"," 20-Apr-2021"," 67.00"," 63.80"," 63.80"," 63.80"," 63.80"," 63.80"," 63.80"," 1600"," 1.02"," 1"," 1600"," 100.00"
WSI," BE"," 20-Apr-2021"," 6.20"," 5.90"," 5.90"," 5.90"," 5.90"," 5.90"," 5.90"," 1"," 0.00"," 1"," -"," -"
XPROINDIA," BE"," 20-Apr-2021"," 106.70"," 112.00"," 112.00"," 112.00"," 112.00"," 112.00"," 112.00"," 10079"," 11.29"," 57"," -"," -"
ZEEL," P2"," 20-Apr-2021"," 1.90"," 1.90"," 1.95"," 1.90"," 1.90"," 1.90"," 1.95"," 28053"," 0.55"," 13"," 27853"," 99.29"
ZENITHSTL," BE"," 20-Apr-2021"," 0.75"," 0.80"," 0.80"," 0.75"," 0.80"," 0.75"," 0.78"," 59499"," 0.46"," 61"," -"," -"
ZUARIGLOB," BE"," 20-Apr-2021"," 77.65"," 76.10"," 79.85"," 76.10"," 77.00"," 77.00"," 78.00"," 13867"," 10.82"," 102"," -"," -"
